id,name,latitude,longitude,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
7,"Fan Pier",42.3533905070523,-71.04457139968872,42.353224,-71.045411,0.99,rooftop,1-5,"Marina Park Dr",,,Boston,MA,"Suffolk County",02210,US,"City of Boston"
S32006,"Davis Square",42.396969,-71.123024,42.396838,-71.123244,1,rooftop,45,"Davis Sq",,,Somerville,MA,"Middlesex County",02144,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
T32001,"Salem Ferry Landing",42.52189284110247,-70.8806911110878,42.521845,-70.88048,1,rooftop,10,"Blaney St",,,Salem,MA,"Essex County",01970,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
A32028,"Bennington St at Byron St",42.383532520117896,-71.01619094610214,42.383689,-71.016201,1,rooftop,624,"Bennington St",,,"East Boston",MA,"Suffolk County",02128,US,"City of Boston"
M32036,"Rindge Avenue - O'Neill Library",42.392857194,-71.129057646,42.392914,-71.129285,1,rooftop,1,"Yerxa Rd",,,Cambridge,MA,"Middlesex County",02140,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
C32027,"Franklin Park - Seaver St at Humboldt Ave",42.309796,-71.092225,42.309929,-71.091521,0.99,rooftop,122,"Seaver St",,,Dorchester,MA,"Suffolk County",02121,US,"City of Boston"
E32015,"Lincoln St at Empire St",42.357651,-71.128513,42.357879,-71.128611,1,rooftop,510,"Lincoln St",,,Allston,MA,"Suffolk County",02134,US,"City of Boston"
459,"Canal St at Causeway St",42.36530094929082,-71.06092190993877,42.365172,-71.061121,1,rooftop,180,"Canal St",,,Boston,MA,"Suffolk County",02114,US,"City of Boston"
48,"Post Office Square",42.35585435522005,-71.05459745998814,42.355719,-71.055027,1,rooftop,185,"Franklin St",,,Boston,MA,"Suffolk County",02110,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
C32097,"Roseland St At Dorchester Ave",42.291169,-71.063009,42.291059,-71.063021,1,rooftop,1735-1741,"Dorchester Ave",,,Boston,MA,"Suffolk County",02124,US,"City of Boston"
S32047,"Foley St at Grand Union Blvd",42.39301840035393,-71.08071684837341,42.392703,-71.080762,1,rooftop,275,"Foley St",,,Somerville,MA,"Middlesex County",02145,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
177,"University Park",42.36264779118595,-71.10006093978882,42.362691,-71.100102,1,rooftop,13,"Sidney St",,,Cambridge,MA,"Middlesex County",02139,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
507,"Chelsea Station",42.39636527849676,-71.03987179230899,42.396169,-71.040437,0.99,rooftop,148,"Everett Ave",,,Chelsea,MA,"Suffolk County",02150,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
295,"Columbia Rd at Tierney Community Center (former)",42.33023264684929,-71.0505741463021,42.330236,-71.050914,1,rooftop,1204-1214,"Columbia Rd",,,Boston,MA,"Suffolk County",02127,US,"City of Boston"
317,"BCBS Quincy",42.27600498756665,-71.03924982267927,42.275756,-71.039897,0.99,rooftop,1,"Enterprise Dr",,,Quincy,MA,"Norfolk County",02171,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
488,"Martha Eliot Health Center",42.324173,-71.10196,42.324338,-71.102083,1,rooftop,81,"Bickford St",,,"Jamaica Plain",MA,"Suffolk County",02130,US,"City of Boston"
D32045,"Dartmouth St at Newbury St",42.35096144421219,-71.07782810926437,42.351129,-71.077581,1,rooftop,277,"Dartmouth St",,,Boston,MA,"Suffolk County",02116,US,"City of Boston"
M32065,"Kennedy-Longfellow School 158 Spring St",42.36955297756508,-71.08579014980933,42.369728,-71.085637,1,rooftop,153,"Spring St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
502,"160 Arsenal",42.36466403441681,-71.17569386959076,42.364397,-71.175638,1,rooftop,24,"Beacon Park",,,Watertown,MA,"Middlesex County",02472,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
B32030,"Walnut Ave at Warren St",42.324081,-71.083235,42.32424,-71.08359,1,rooftop,19,"Walnut Ave",,,Roxbury,MA,"Suffolk County",02119,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
468,"Nonantum Library",42.36068455768156,-71.20146199598821,42.360653,-71.201452,1,rooftop,375,"Watertown St",,,Newton,MA,"Middlesex County",02458,US,"Town of Newton"
